Area ID,median_income,poverty_percent,median_age,percent_married,birth_rate,pct_white,avgdeathsperyear
1,61898,11.2,39.3,52.5,6.118831029,81.78052858,469
2,48127,18.6,33,44.5,4.333095578,89.22850915,70
3,49348,14.6,45,54.2,3.729487817,90.9221902,50
4,44243,17.1,42.8,52.7,4.603840773,91.74468649,202
5,49955,12.5,48.3,57.8,6.796657382,94.10402393,26
6,52313,15.6,45.4,50.4,4.964476021,84.88263065,152
7,37782,23.2,42.6,54.1,4.204317269,75.10645505,97
8,40189,17.8,51.7,52.7,5.889178996,89.40663599,71
9,42579,22.3,49.3,55.9,5.587583149,91.78747687,36
10,60397,13.1,35.8,50,5.533430211,74.72966791,1380
11,54721,12.7,54.4,56.8,4.586129754,92.57332665,36
12,51395,15.7,41,53.6,5.818153266,85.59027341,269
13,52673,12.6,45.2,54.4,4.805591962,93.41812683,26
14,71890,9.9,37.6,52.1,4.729251068,78.83273756,1118
15,50083,16.3,37.2,49.4,5.355835918,89.03816718,901
16,43823,19.3,46.2,57.2,3.631082062,89.17745936,106
17,61653,11.9,38.5,52.4,5.180155167,82.58622199,483
18,51022,13.9,52.1,53.5,0.535475234,92.96158612,12
19,49819,15.7,36.9,46.5,4.138710893,86.23882396,120
20,53733,15.7,36.5,47.5,4.4729858,85.4703042,367
21,41837,28.4,24.2,36.1,3.304159034,83.58260051,50
22,44342,20.5,32.5,48.6,6.560611666,78.02051672,403
23,35615,21.5,41.5,52,2.292860865,96.84418146,41
24,56737,13.2,38.4,51.8,4.872468117,87.80122144,215
25,37625,22.1,41.9,55.2,4.220287661,98.3125,70
26,33817,22.2,44.5,52.4,5.469020422,97.91234619,40
27,43572,15.1,45.9,50.3,4.970530452,96.81808578,69
28,34887,21.9,38.5,43,4.521925134,91.06936297,237
29,32162,21.8,47,55.7,4.780114723,98.25327511,25
30,32961,25.1,43.3,55.8,8.753056235,98.04178974,26
31,41838,17.4,43.7,45.8,6.016466118,96.67113767,19
32,36739,21.4,43.2,50.9,6.526136485,93.37637809,137
33,32705,28.9,38.4,43.2,2.328431373,81.55946321,21
34,41039,17,45.6,50.5,3.528435035,97.37621667,22
35,36996,21.1,45.3,52.2,4.354354354,94.14288118,103
36,35980,21.2,44.6,38.7,2.28320067,97.15827033,66
37,48178,12.9,45.6,51.8,5.693029274,95.71537366,85
38,41010,15.3,44.5,50.1,2.955003358,94.69001148,29
39,42121,13.9,42,52.4,5.060383303,95.67378765,192
40,41121,16.7,42.6,54.5,4.735242361,97.40224228,78
41,66950,10.2,39.7,53.3,4.995519713,88.24211251,101
42,43936,16.8,42.8,47.9,4.091266719,88.72214738,539
43,40568,20,43.3,50.6,4.374100719,97.8094195,50
44,34295,24.4,41.9,50.6,2.635983264,98.32560297,60
45,36437,20.2,42.6,53.1,4.195713917,96.44574944,113
46,24707,34.9,44.1,46,3.860072376,89.35679262,70
47,43729,17.9,41.1,51,5.113459745,93.95492164,144
48,43356,15.2,44.3,57.7,3.174132305,97.66625616,87
49,35799,20.6,43,51.6,3.66910141,97.86584244,78
50,35046,20.5,42.3,50.6,4.807972069,91.14249245,184
51,40012,16.1,43.2,44.2,7.391231312,94.81534859,76
52,29839,28.1,41.7,55.6,2.796024928,96.08962246,76
53,43835,22.5,30,37.2,4.001671717,90.57717276,132
54,36351,19.3,46.6,56.8,6.07651913,97.65619224,39
55,44446,13,46.1,47.7,4.090035685,97.35622318,52
56,36375,19.6,43.4,57.9,3.346456693,99.32896259,72
57,40195,18.4,43.3,45.2,3.257226644,93.13655843,123
58,38204,16.7,49.1,55.3,7.611940299,95.9605512,19
59,44801,16.5,43.6,55,2.966381015,97.14510215,21
60,34341,17.6,48.4,56.4,4.256631709,96.75750259,23
61,41420,17.6,42.3,53.3,4.038301415,94.16427578,73
62,59472,10,41,57.4,6.034482759,96.62520319,114
63,40270,17.7,41.6,51.3,3.77850558,88.30214159,206
64,37468,20.8,43.2,52.2,4.231027535,96.90447812,68
65,46383,17.7,45.2,49.5,6.267539757,98.234714,32
66,33041,23.1,44.2,53.9,2.353331124,97.9365947,41
67,32456,25.8,46.3,53.5,3.812668868,93.04489073,36
68,40305,16.8,43,52.3,6.801152738,97.26100018,39
69,36466,17.1,47.7,60.5,3.868613139,98.16408491,19
70,41019,15.8,46.2,53.5,1.988950276,98.73796081,27
71,38387,19.7,41.8,51.5,5.300938708,97.41449511,60
72,37242,20,42.5,48.9,4.112005292,97.9300706,102
73,29331,26.1,46.3,54.1,4.203539823,97.98364512,33
74,40013,18.5,46,51.4,6.161137441,98.44030451,50
75,38600,20.3,45,52.2,5.968928863,97.41482623,14
76,41932,17.2,42.5,51.1,6.23870268,96.18988205,217
77,34419,22.8,42.8,55.7,6.018614271,97.72588122,69
78,42063,17.8,51.4,50.9,3.861129137,93.18859713,73
79,41294,14.9,42.2,45.9,6.460336538,84.96217095,45
80,46375,13.7,43.9,55.8,5.884312202,95.66169067,112
81,44395,13.6,50.8,58.5,5.547054323,86.37873754,42
82,54141,12,36.8,51.4,5.921762149,86.45045286,406
83,50998,10.5,45,59,7.17472119,97.49230423,33
84,41810,16.5,50.9,59,4.96054115,91.5416721,50
85,68430,5.9,39,62,4.330985915,94.67772455,79
86,52485,10.7,40.6,55.6,5.497771174,95.12569413,123
87,45316,16,37.1,58.2,9.86429301,97.12034301,70
88,59020,8.8,42,54.9,4.654466449,95.67367993,123
89,43562,14.7,45.9,52.3,5.300353357,96.23248195,43
90,61937,13.4,34.6,47.5,4.458527742,84.4213423,707
91,54359,9.9,42,51.1,4.49736915,93.82361909,201
92,49717,11,51.7,62.6,4.481380181,96.61750388,77
93,46475,13.9,40.6,47.6,6.150455775,92.94732756,104
94,52224,13.9,34.1,47.6,5.116736739,94.42242804,72
95,48102,14.4,33.8,46.4,4.346348463,92.75184882,177
96,44562,12.8,51.1,59.9,3.462050599,98.45844504,13
97,52149,9.9,41,54.8,4.541733098,93.58516484,206
98,41418,17,45.3,52.8,7.250418293,82.26229508,25
99,46972,15,36.1,48.6,5.174434328,96.73716716,108
100,53328,8.7,42.2,56.7,5.46031746,97.19792679,74
101,61802,8.2,458.4,58.1,9.675645959,96.47605601,32
102,40351,16,46.1,56.5,5.360824742,84.54854552,15
103,43883,12.1,49.5,61,7.992565056,97.90794979,10
104,55955,9.2,38.8,62.7,5.678233438,97.18796251,10
105,49517,10.7,48.9,67,6.35451505,97.10536472,13
106,41344,34,28.6,40.9,8.467741935,41.41952203,14
107,44726,12.3,46,64.2,5.01285347,98.30747532,12
108,69191,7.4,41.2,63.5,5.725611099,97.27995261,39
109,53290,13.6,30.1,53.9,5.981533521,95.25729443,15
110,40979,12.7,47.5,57.2,3.524229075,95.53692183,12
